,premise1,premise2,conclusion
1622,if a thing is the same color as another thing then that thing is difficult to see in that other thing,hiding means ability to be seen decreases for protection,a thing having the same color as another thing is used for hiding
3345,weight is the force of gravity acting on an object,a scale is used for measuring weight,a scale is used for measuring the force of gravity acting on an object
383,sedimentary rocks are formed by small particles being compressed together,sedimentary rocks are formed in layers,sedimentary rocks are formed by small particles being compressed together in layers
4644,a snowshoe hare's fur changes color to brown in the summer and white in the winter,an arctic environment becomes brown in the summer and white in the winter,a snowshoe hare's fur changes to the color of its environment in the summer and winter
4883,food stores nutrients and energy for living things,the ability to store something is a kind of property,the ability to store nutrients and energy is a property of food
4348,fossil fuels are a nonrenewable resource,petroleum is a kind of fossil fuel,petroleum is a kind of nonrenewable resource
3090,heat means temperature increases,a solid is heated,the temperature of the solid increases
2532,oranges / lemons are a kind of food,eating oranges / lemons can prevent scurvy,eating a kind of food can prevent scurvy
3734,"in the formation of sedimentary rock, erosion forms sediment",erosion causes deposition,"in the formation of sedimentary rock, sediment formed by erosion is deposited"
2401,a plant absorbs carbon dioxide from the air to perform photosynthesis,to absorb something can mean to take something in,a plant takes in carbon dioxide to perform photosynthesis
506,fossil fuels are formed from prehistoric organisms dying and decaying,an animal is a kind of organism,fossil fuels are formed from prehistoric animals dying and decaying
218,if a species existed for a relatively short time then that species is now extinct,index fossils are formed from species that existed for a relatively short time,the species that form the index fossils are now extinct
2081,the digestive system breaks down food into nutrients for the body,the circulatory system carries food from the digestive systems throughout the body,the digestive system and the circulatory system help to break down food and carry it throughout the body
4148,centimeters cm are a metric unit used for measuring length,a centimeter is used for measuring short lengths / short distances,centimeter is a metric unit used to measure the length
4374,if something causes something else then that something results in that something else,soil erosion can cause desertification of the land,soil erosion can result in desertification of the land
3557,sugar is soluble in water,"if something is soluble in something , then that something can be dissolved in something forming a solution",sugar dissolves in water when they are combined
4466,trees require a certain thickness of soil to grow,if an event is required for a process then that event must occur before that process can occur,the formation of soil must occur before trees can grow
1876,"as dryness in an environment increases, the ability of living things to survive in that environment decreases due to a lack of available water",storing water increases the water available to organisms in a dry environment,"as a living thing's ability to store water increases, that living thing's ability to survive in a dry environment increases"
1308,friction causes some chemicals in the tire to vaporize,vaporizing a chemical causes smoke,friction causes the tire to produce smoke
3335,water is a kind of object,objects are made of matter,water is made of matter
232,a dinosaur is a kind of animal,dinosaurs are cold-blooded,dinosaurs are cold-blooded animals
3881,a wildfire causes jack pine tree cones to be able to disperse seeds,a tree will disperse seeds after something else causes that tree to be able to disperse seeds,a jack pine tree will disperse seeds after a wildfire
4722,red blood cells carry oxygen to the bones of the body,red blood cells are a part of the circulatory system and bones are a part of the skeletal system,the red blood cells of the circulatory system carry oxygen to the bones of the skeletal system
4138,a balance can be used for measure the mass of sand,determining something often requires measuring that something,determining the mass of the sand requires using a balance to measure the mass of the sand
63,a complete rotation of the moon takes 1 / one month,the moon rotates on its axis,a complete rotation of the moon on its axis takes one month
671,clearing a forest causes deforestation to increase,"as the deforestation increases , the soil erosion will increase",clearing a forest causes increased soil erosion
790,oil is a source of gasoline,oil is a kind of fossil fuel,gasoline is kind of fossil fuel
3030,sodium chloride is made of two elements chemically combined,a compound is made of two or more elements chemically combined,sodium chloride is a kind of chemical compound
2592,clothing made from insulated material can be used for keeping warm,if something / an invention / a discovery is invented / discovered then that something / that invention / that discovery can be used,if insulated clothing is developed then it can be used for keeping warm
4073,humans changing an environment causes animal populations to decrease in that environment,a meadow is a kind of environment,humans changing a meadow causes animal populations to decrease in that meadow
2718,green plants provide food for consumers by performing photosynthesis,green plants are a kind of producer,green plants provide food for consumers
2087,arteries / veins transport nutrients / water / minerals to the whole body,the body of an animal contains arteries / veins,arteries and veins in animals transport nutrients / water / minerals to the whole body
4543,vibrations are a source of sound,plucking a string can cause that string to vibrate,the vibrations of a string are a source of sound
1681,an animal requires warmth for survival in cold environments,layers of fat are used to keep animals warm,layers of fat are used by animals to survive in cold environments by keeping warm
281,limestone is a kind of sedimentary rock and marble is a kind of metamorphic rock,sedimentary rocks are formed by deposition / cementation and metamorphic rocks are formed by rocks being exposed to extreme heat and pressure,limestone is a kind of sedimentary rock that is formed by deposition / cementation and marble is a kind of metamorphic rock that is formed by rocks being exposed to extreme heat and pressure
836,an organism becoming extinct causes a change in the organism 's food web,a change in a food web can cause damage to an ecosystem,extinctions of organisms can cause damage to an ecosystem by changing the food web
605,a land mass is a kind of object,a continent is a kind of large land mass,a cotinental land mass is a kind of object
8,"as the stars become closer, the light of the stars will appear brighter",the sun is the star that is closest to earth,the sun will be the star that appears the brightest to the earth
4823,if something is a raw material in a process then that something is required for that process,in the photosynthesis process carbon dioxide has the role of raw material,photosynthesis requires carbon dioxide
1685,animals require warmth for survival,if the environmental temperature / air temperature is too cold then an animal / a living thing in that environment may become cold,animals require warmth for survival in cold environments
2700,a producer produces its own food,to produce something means to make something,a producer makes its own food
4803,if a process converts something into something else then that something is used in that process,"photosynthesis makes food for the plant by converting carbon dioxide, water, and sunlight into carbohydrates",photosynthesis uses carbon dioxide to make food for a plant
70,"as the distance from a star to earth decreases, the star will appear larger",the sun is the star that is closest to earth,the sun will appear larger than other stars because it is the closest star to earth
3910,an aquatic animal requires great amounts of water to thrive,"as the available water in an environment increases , the populations of organisms in that environment will increase","as water increases in an environment , the population of aquatic animals will increase"
1588,looking like leaves can be used by birds for hiding from predators,hiding can be used to avoid something,looking like leaves can be used by birds for avoiding predators
4551,hot tea is a source of heat,a metal spoon is placed in a cup of hot tea,the hot tea is a source of heat for the metal spoon
2454,a pumpkin and fruit both contain seeds,a pumpkin is a kind of gourd which is a kind of fruit,a pumpkin is a kind of fruit
2241,jaws are part of an animal used for eating,teeth are part of an animal used for eating,teeth and jaws are part of an animal used for eating
4076,a farmer is a kind of human,farmers plant fruit trees,humans / farmers plant fruit trees
1379,only mammals nurse their offspring,glands that make milk are only useful for nursing offspring,glands that make milk are parts of only a mammal
2284,organs are made of different types of cellular tissues,different cellular tissues are made of different types of somatic cells,an organ is made of different types of cellular tissues that are made of different types of somatic cells
4277,sedimentary rocks are made of small particles,sediment is a kind of small particle,sedimentary rocks are made of sediment
2503,roots are a vehicle for taking in minerals from the soil,iron is a kind of mineral,roots are a vehicle for taking in iron from the soil
4240,radioactive dating is used to determine the age of fossils,conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms,radioactive dating can help draw conclusions about changes in organisms over time by determing the age of fossils
4727,digestion is when the body breaks down food for nutrients,digestion is when the body absorbs nutrients from food,digestion is the process through which a body obtains nutrients
1383,an odd number of toes is a property of rhinoceroses,an odd number of toes is a property of horses,horses and rhinoceroses both have an odd number of toes
4638,an arctic hare turns white in the winter,an arctic environment becomes white in the winter,an arctic hare and an arctic environment both become white in the winter
2519,decreasing water loss has a positive impact on a plant's survival,stomata closing reduces water loss,stomata has a positive impact on plants by reducing water loss
4863,sugars are transported from leaves to other parts of a plant,roots are a part of a plant / tree,sugars are transported from the leaves to the roots of a plant
156,an object will weigh less on the moon than on the earth because the moon has less mass than the earth,an astronaut is a kind of object,an astronaut will weigh less on the moon than on earth because the moon has less mass than the earth
1451,an example of preparing is storing something for use later,if an animal relies on plants for food then that animal must store enough food to last through the winter,an example of preparing is an animal storing food to last through the winter
4657,a camel's humps are used for survival by storing fat,adaptations are used for survival,an example of an adaptation is camel humps storing fat
2071,the circulatory system carries nutrients from the digestive systems to the rest of the body,cells are a part of the body,the circulatory system carries nutrients from the digestive system to the body's cells
1338,the rate at which trees keep or lose their leaves is a characteristic of trees that is different for different kinds of trees,a characteristic of something that is different for different kinds of that something is a distinct characteristic of that something,that rate at which a kind of tree keeps or loses its leaves is a distinct characteristic of that kind of tree
2329,a yeast cell is a kind of single cell organism,a single-cell organism can survive without the help of other cells,a yeast cell can survive without the help of other cells
3794,chemical weathering is a kind of weathering,soil is formed by weathering,soil can be formed by chemical weathering
4302,warming means an increase in temperature,gases released during the use of fossil fuels causes global warming,gases released during the use of fossil fuels cause an increase in global temperature
3591,seeing the texture of a hair with bare eyes is difficult,magnifying makes seeing small things easier,magnifying can help study the texture of a hair
4508,friction occurs when the bowling ball containing mechanical energy touches the floor,friction converts mechanical energy into heat energy,the mechanical energy in the bowling ball is converted to heat energy when it touches the floor
2876,hunting is a kind of skill,skills are learned characteristics / behaviors,hunting is a kind of learned behaviors
2653,decomposition is when a decomposer breaks down dead organisms,an organism is a source of organic material,decomposition is when a decomposer breaks down organic material
549,an inexhaustable resource is a kind of renewable resource that is always available,wind is an inexhaustible resource,wind is a kind of renewable resource that is always available
3521,electrical insulation over a conducting wire is required to protect the user,wrapping the conducting wire in plastic can achieve electrical insulation,wrapping the conducting wire with plastic can protect the user
954,a mountain range contains mountains,a mountain is made of rocks,a mountain range contains mountains made of rocks
4089,an example of playing with toys is jumping to catch a ball,playing with toys is a learned characteristic,jumping to catch a ball is a kind of learned characteristic
2164,a tricep contracting is a kind of muscular movement,a bicep relaxing is a kind of muscular movement,a tricep contracting and a bicep relaxing are kinds of muscular movement
4670,storing water increases the water available to organisms in a dry environment,waxy leaves are used for storing water by some plants,waxy leaves are used by some plants for increasing the availability of water in a dry environment
2972,information in an organism 's chromosomes cause genetic traits to be passed down to that organism 's offspring,cow is a kind of organism,information in a cow's chromosomes cause genetic traits to be passed down to the offspring
3170,a balloon filled with helium is an example of a container filled with helium,helium is a pure substance,a balloon filled with helium is an example of a container filled with a pure substance
4901,many animals are herbivores,in the food chain process an animal has the role of consumer which eats producers / other animals for food,in the food chain an animal with the role of consumer may eat herbivores
4272,rock is a hard material,granite is a hard material,granite is a kind of rock
1899,alligators are a kind of predator,"as the population of prey decreases , competition between predators will increase","as the population of prey decreases , competition between alligators will increase"
644,planting trees is a kind of human activity that has a positive impact on an ecosystem,an impact means an effect,planting trees is a kind of human activity that has a positive effect on an ecosystem
1614,if a hare's fur is a color then that hare is that color,an arctic hare's fur turns white in the winter,an arctic hare turns white in the winter
273,"that mineral is black, has a nonmetallic luster, and is soft","mica is a mineral that is black, has a nonmetallic luster, and is soft",that mineral is mica
4568,transverse and longitudinal waves are opposites,sound travels as longitudal waves,sound is not a transverse wave
899,decomposition is when a decomposer recycles nutrients from dead organisms to the soil by eating those dead organisms,decomposition increases the amount of nutrients / nitrogen in the soil,decomposers can increase the amount of nutrients in the soil
1832,if sheep with one trait outnumber those sheep with a different trait in a population then the sheep with that one trait probably have a better chance at surviving and reproducing,sheep with light wool outnumber sheep with dark wool in the sheep population on hirta,sheep with light wool have a better chance of surviving and reproducing than sheep with black wool on hirta
2380,solar energy is a kind of light energy,sunlight is a kind of solar energy,sunlight is a kind of light energy
725,animals are a part of the environment,ecosystem can mean environment,animals are a part of the ecosystem
1115,a flashlight converts electrical energy from the battery into light energy,batteries convert chemical energy to electrical energy,"when a flashlight is used, the energy is changed from chemical energy into electrical energy and then into light energy"
2219,the brain and the spinal cord and the nerves are parts of the body,"the brain, spinal cord, and nerves work together",the brain and the spinal cord and nerves are parts of the body that work together
3595,"when friction occurs between two objects, both objects' temperatures increase",friction occurs when the wooden block is moving against the sandpaper,friction will cause the temperature of the wooden block to increase
3972,hollow bones cause an animal to be lightweight,being lightweight has a positive impact on an animal's ability to fly,hollow bones have a positive impact on an animal's ability to fly
3970,feathers are a part of some wings,wings are used to fly through air by birds,wings and feathers are used to fly by birds
799,clearing a wooded area causes that wooded area to be destroyed,a wooded area contains lots of animal habitats,clearing a wooded area causes animal habitats to be destroyed
752,crops that survive in droughts can conserve water,planting crops is a kind of activity,planting crops that survive in droughts is a kind of activity that conserves water
4769,a fertilized egg will get 23 chromosomes from the sperm and 23 chromosomes from the egg,23 plus 23 equals 46,a fertilized egg will have 46 chromosomes
2963,the color of the skin of a tomato is an inherited characteristics,inherited characteristics can change over several generations,the color of the skin of a tomato can change over several generations
2139,the immune system destroys pathogens that have invaded the body,white blood cells are a kind of cell that are part of the immune system,white blood cells are a kind of cell that is a part of the immune system which destroys pathogens that have invaded the body
4461,planting the same crop every year decreases the nutrients required by that kind of crop,corn is a kind of crop,planting corn every year decreases the nutrients required by corn to grow
3785,too much fishing can cause some animals that eat fish to lack food,lack of food causes starvation,too much fishing can cause starvation for some animals that eat fish
1604,an arctic fox and arctic environment are both dark gray or brown in the summer and white in the winter,"if something is one color during one time and another color during another time, then at something changes color",an arctic fox and arctic environment are both change color to dark gray or brown in the summer and white in the winter
3804,water freezing means water changes from a liquid into a solid,"water is in the solid state , called ice",water freezing means water changes from a liquid to ice
3541,iron nails are made of iron,iron is always magnetic,iron nails are magnetic
4187,a airplane is used for moving people / products across bodies of water / to far away places,an airplane is fast in speed,an airplane moves people fast
2249,teeth and jaws can be used to determine whether an animal is a carnivore or an herbivore,teeth and jaws are a part of an animal's skull,the skull of an animal can be used to determine if that animal was a carnivore or an herbivore
86,"a galaxy is made of dusts, stars, and planets",a galaxy is held together by gravity,"a galaxy is made of dusts, stars, and planets held together by gravity"
3051,hydrogen and oxygen are different elements,an element is a kind of substance,hydrogen and oxygen are different substances
1709,temperature changes from seasons to seasons,winter is a kind of season,temperature changes from another season to winter
4791,carbon dioxide is required for photosynthesis,if something is required in a process then taking that something in is a step in that process,taking in carbon dioxide is a step in the photosynthesis process
1231,vibrating the matter in the rubber band can produce sound,snapping a rubber band can cause the matter in the rubber band to vibrate,snapping a rubber band will produce sound
2074,food is absorbed into the circulatory system through blood,the circulatory system transports blood throughout the body,the circulatory system carries food from the digestive systems to the rest of the body using blood
1908,an organism's environment does not affect that organism's inherited characteristics,a plant is a kind of organism,an plant's environment does not affect that plant's inherited characteristics
1120,an electric circuit is a vehicle for moving electrical energy from the source to the electrical device,"when a switch in a simple series circuit is closed , electricity will flow through the circuit","when a switch is closed, the electrical energy will flow from the source to the electrical device"
1532,an example of camouflage is an animal looking like leaves,camouflage is a kind of adaptation for decreasing something's ability to be seen in an environment,looking like leaves can decrease an organism's ability to be seen in an environment
4528,light comes to the focal point after passing through a convex lens,a convex lens causes light to refract and concentrate to magnify distant objects,a convex lens will cause the light to refract when the light passes through the convex lens
1121,"when a switch is closed, the electrical energy will flow from the source to the electrical device",a light bulb is a kind of electrical device,"when a switched is closed, the electrical energy will flow to the light bulb"
641,removing nutrients harms the environment,an environment is a kind of ecosystem,removing nutrients harms an ecosystem
2919,short height is usually a recessive trait in plants,two short plants are crossed,two plants with recessive trait of short height are crossed
2817,"if an animal eats other animals for food , then the animal will be the predator",predators eat prey,if an animal eats another animal then the animal will be the predator and the other animal will be the prey
4522,coiled wires are a kind of wire,"an electromagnet is made of coiled wires, iron core, and source of electricity","an electromagnet is made of wires, iron core, and a source of electricity"
4663,the spring season has warm weather,the winter season has cold weather,the spring season has warm weather and the winter season has cold weather
2246,canivores have differently shaped teeth and jaws than herbivores,"if one type of animal has a different feature compared to another type of animal, then that feature is specific to that type of animal",certain teeth and jaws are specific to carnivores and other teeth and jaws are specific to herbivores
3953,the circulatory system transports blood throughout the body,blood is a vehicle for carrying oxygen from the lungs to the rest of the body,the circulatory system brings oxygen from the lungs to the rest of the body
3686,the plants in the gardens will receive sunlight to grow during the day,summer has the most sunlight,the plants in the gardens will receive the most sunlight in summer to grow during the day
4821,carbon dioxide can be found in earth's atmosphere,carbon dioxide is a kind of gas,carbon dioxide is a kind of gas that can be found in earth's atmosphere
3627,transportation technology is used for moving people / products,transportation technology is a kind of system for moving people and products,transportation technology is a system that moves people and products
4020,a plant is a kind of organism,"if an organism uses a process to convert something into something else, then that something is used for that process",if a plant uses a process to convert something into something else then that something is used for that process
4622,animals hear other animals communicate,a prairie dog is a kind of animal,prairie dogs hear other prairie dogs communicate
4155,water is a kind of substance,salt is a kind of pure substance,salt and water are two substances
1373,inherited characteristics can be used to classify an organism into the apropriate taxonomic rank,genes are able to determine the inherited characteristics of an organism,genes can be used for classifying organisms
759,"as the time a lightbulb lasts increases, the number of lightbulbs discarded will decrease",decreasing the number of light bulbs discarded in landfills by humans has a positive impact on the environment,increasing the time that a lightbulb lasts has a positive impact on the environment by decreasing the number of light bulbs discarded in landfills
2419,photosynthesis means green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves,photosynthesis is a kind of process,photosynthesis is a kind of process in which plants convert carbon dioxide and water and solar energy into carbohydrates and food ans oxygen for themselves
2318,green plants as producers are made of plant cells,a plant cell contains a strucutre called chloroplast,chloroplasts are the structure that is in the cells of producers
4120,electrons take up the majority of the volume of an atom,electrons are a part of an atom,electrons are part of an atom that take up the majority of the volume in an atom
3053,electrical energy is added to water,hydrogen is produced when electrical energy is added to water,electrical energy causes hydrogen to form from water
3552,a magnet will attract iron,the mixture is made of iron nails and aluminum nails,a magnet will attract the iron nails in the mixture
2705,producing something is a kind of method for providing something,green plants provide food for themselves / animals / consumers by performing photosynthesis,green plants produce food for themselves / animals / consumers
1627,being protected from predators has a positive impact on an animal's survival,camouflage is used for protection by animals against predators,camouflage has a positive impact on an animal's survival
1023,temperature is a kindof information about weather,a thermometer is used to measure temperature,a thermometer is used to measure the information about weather on temperature
277,aluminum is a kind of metal,iron is a kind of metal,iron and aluminum are kinds of metal
4558,the spoon being exposed to the hot chocolate is an example of thermal conductor being exposed to a source of heat,if a thermal conductor is exposed to a source of heat then that conductor may become hot / warm,the spoon in the hot chocolate will become hot
424,a fossil fuel is a kind of natural resource,coal is a kind of fossil fuel,coal is a kind of natural resource
3048,lighting a match causes that match to burn,fire causes burning,lighting a match is when a fire causes the match to burn
692,a body of water contains water,a lake is a kind of body of water,a lake contains water
4025,a leaf absorbs sunlight to perform photosynthesis,a leaf is a part of a plant,a leaf is a part of a plant that absorbs sunlight to perform photosynthesis
845,trash is similar to waste,recycling decreases the amount of waste sent to landfills,recycling decreases the amount of trash sent to landfills
2326,the cell nucleus controls many of the functions of the cell,a cell nucleus is a part of a cell,the cell nucleus is part of the cell that controls many of the functions of the cell
3890,protecting an animal has a positive impact on that animal's survival,hiding is a kind of protection against predators / from predators,hiding can have a positive impact on an animal's survival
2688,energy is transfered  to plants through sunlight,if energy is transferred to something through something else then that something gets that energy from that something else,plants get energy from sunlight
3536,a mineral is a kind of object,the luster of an object can be determined by looking at that object,the luster of a mineral can be determined by looking at it
3096,gold is in solid state,mercury is in liquid state,gold and mercury are in different states of matter
258,a mineral is a kind of solid natural material,a mineral usually has a crystal structure,a mineral is a solid natural material with a crystal structure
4511,a light bulb is a part of a lamp,a light bulb converts electrical energy / electricity into light energy / light energy and heat energy,the light bulb in lamp converts electrical energy into light energy and heat energy
3028,sodium is a kind of element,chlorine is a kind of element,sodium and chlorine are two elements
1665,avoiding predators has a positive impact on an organism 's survival,avoiding something requires sensing that something,sensing predators has a positive impact on an animal's survival
2106,the digestive system breaks down food,if something contains something else then that something can be broken down into that something else,the digestive system breaks down food into the substances it contains
4471,the air around the equator will increase in temperature,"if something increases in temperature, then that something will be warm",the air is warm around the equator
5099,iron can conduct electricity and heat and is magnetic,iron nails are made of iron,iron nail can conduct electricity and heat and is magnetic
561,soil contains nutrients for plants,a plant / living thing requires nutrients to grow,a plant requires nutrients in soil to grow
1353,a mammal is a kind of animal,a bird is a kind of animal,a bird and a mammal are both kinds of animals
327,the crystal size of a rock indicates whether the rock cooled slowly,crystal size is a property of rocks and includes values of small / large,crystal size is a property of a rock that indicates whether a rock cooled slowly
2080,blood is a vehicle for carrying food,the circulatory system transports blood throughout the body,the circulatory system carries food from the digestive systems throughout the body
3651,scientists make observations on lightning,lightning is a kind of electrical discharge,scientists make observations on electrical discharge in the form of lightning
3280,freezing means a substance changes from a liquid into a solid by decreasing heat energy,water is a kind of substance,decreasing heat energy in water will change water from a liquid into a solid
1529,a green tree frog and a leaf are the same color,an example of camouflage is organism having the same color as its environment,an example of camouflage is an organism looking like leaves
653,an example of managing / maintaining the number / the use of something is replacing that something,resources must be managed,an example of managing the number of a resource is replacing that resource
2902,nucleotide is a kind of repeating unit in dna,nucleotide is a kind of monomer,a nucleotide is a repeating monomer in dna
1157,a sweater is a kind of object,if an object is black then that object absorbs all visible light / heat,a black sweater will absorb all visible light
3594,the surfaces of a wooden block and sandpaper are moving against each other,friction occurs when two object 's surfaces move against each other,friction occurs when the wooden block is moving against the sandpaper
3702,a new moon will occur 28 days after the last time it occurs,a new moon occurred on june 2,the next new moon will occur 28 days after june 2
4061,when something is transported to a place the amount of that something in that place increases,returning something is a kind of method for transporting something,when something is returned to a place the amount of that something in that place increases
398,sediment is formed by weathering / erosion,if something is formed by weathering and erosion then that something is formed as a result of weathering and erosion,sediment is formed as a result of weathering / erosion
3288,freezing will change the liquid water into solid,particles in a solid have an orderly fixed position,freezing can change the particles in water to an orderly fixed position
1318,ramp is a kind of surface,"as roughness of a surface increases , friction will increase","as roughness of the ramp increases, friction will increase"
4902,in the food chain an animal with the role of consumer may eat herbivores,living things eat their food source,in the food chain herbivores are a source of food for some animals
2113,when food is digested it is broken down into nutrients,nutrients are a kind of simple substance,when food is digested it is broken down into simple substances
3916,"if a substance with a certain property contains more / less of something than a substance with a different property, then that property positively / negatively affects how much of that something that substance contains",temperature is a property of substances and includes ordered values of cold / cool / warm / hot,"if a substance with a certain temperature contains more / less of something than a substance with a different temperature, then that temperature positively / negatively affects how much of that something that substance contains"
2275,a source of something produces that something,cellular respiration is a source of energy for cell activities,cellular respiration produces energy for cell activites
434,burning fossil fuels is a source of air pollution,coal is a kind of fossil fuel,burning coal is a source of air pollution
1567,camouflage is a kind of adaptation for hiding in an environment,an adaptation has a positive impact on an animal 's survival,camouflage has a positive impact on an animal's survival
3102,state of matter is a kind of physical property,solid is a kind of state of matter,solid is a kind of physical property
906,prevailing westerlies are prevailing winds from the west toward the east in the middle latitudes between 30 and 60 degrees latitude,united states are located in the middle latitudes between 30 and 60 degrees latitude,prevailing westerlies are prevailing winds that move from west to east across the united states
771,carbon in the air causes the temperature of a planet's atmosphere to increase,"if something causes something else to increase, then increasing that something will cause that something else to increase","as the amount of carbon in the air increases, the temperature of the planet's atmosphere will increase"
2365,"if a process converts something into something else, then that something is a raw material in that process",photosynthesis is a kind of process,if photosynthesis converts something into something else then that something is a raw material in photosynthesis
2459,if a thing converts something into something else then that thing uses that something,bees convert nectar into honey for food,bees use nectar for food
4465,a decrease in soil thickness can cause harm to trees,drought decreases the thickness of soil,drought can cause harm to trees by decreasing the thickness of soil
892,high humus content causes the soil to be brown,humus is a source of nutrients in soil,soil with high nutrients content will be brown
2991,popping popcorn will cause chemical reactions to the corns,chemical reactions cause different substances to form,popping popcorn will cause a different substance to form
26,earth is a planet that rotates on its tilted axis,a planet rotating causes cycles of day and night on that planet,earth rotating on its axis causes the cycle of day and night on earth
50,summer is when a hemisphere is tilted towards the sun,the northern hemisphere is a kind of hemisphere of earth,northern hemisphere tilts towards the sun in summer
4173,"if something is soluble in something , then that something can be dissolved in something forming a solution",sugar is soluble in water,sugar dissolves in water when they are combined
3892,hiding can have a positive impact on a bear's survival,a bear having dark fur is a kind of adaptation for hiding in a forest,having dark fur has a positive impact on an animal's survival in a forest
3301,the wax has changed from a solid state to a liquid state,melting means matter / a substance changes from a solid into a liquid by increasing heat energy,the wax from the candle melted
3691,icy can be used to describe objects that are made of ice,objects generally are made of ice in the kuiper belt,objects in kuiper belt are icy
2689,a plant requires energy to make food,plants get energy from sunlight,a plant gets energy to make food from sunlight
2267,a fish is a kind of living thing,a goldfish is a kind of fish,a goldfish is a kind of living thing
568,crop rotation is a kind of process,not doing something that is required for a process decreases the performance of that process,not doing something that is required for crop rotation decreases crop rotation
3511,metal is the material that has a higher conductivity than other materials,iron nails are made of metal,an iron nail has a higher conductivity than other materials
1249,sound wave is a kind of wave,a wave is formed by the vibration of the source spreading around from the source,sound wave is formed by the vibration of the source spreading around from the source
297,forming sedimentary rock requires burying,"in the formation of sedimentary rock , burying the sediments follows depositing the sediments",forming sedimentary rock requires burying sediments
914,the solar energy radiated by the ground can cause the air to rise,travelling up a mountain side is a kind of rising,the solar energy radiated by the ground can cause the air to travel up a mountain side
2976,human are breeding german shepherd dogs with dogs with genetic trait of smaller size,selective breeding is when an organism receives selective genetic traits from its parents by human design,human breeding german shepherd dogs with dogs with genetic trait of smaller size is an example of selective breeding
801,cutting down trees in a forest causes the number of trees to decrease in that forest,a tree is a kind of habitat,cutting down trees in a forest causes the number of habitat to decrease
3740,to increase something in the atmosphere means to add that something into the atmosphere,burning fossil fuels increases the carbon in the atmosphere,burning fossil fuels adds carbon into the atmosphere
2995,lighting a candle causes the candle to undergo chemical reaction,chemical change is a kind of chemical reaction,lighting a candle causes the candle to undergo chemical change
255,"if fossils of horses change depending on the level in which they were found, then the horses has changed over time",the younger fossils of horse has longer bones than the older fossils of horse,horse species have changed from smaller to larger over time
448,fuel supply is a kind of resource,fossil fuels are a kind of energy resource,a fossil fuel supply is a kind of resource
4305,gases released during the use of fossil fuels increases the temperature of the atmosphere,if something increases temperature then that something adds heat,gases released during the use of fossil fuels add heat to the atmosphere
791,gasoline is kind of fossil fuel,gases released during the use of fossil fuels causes global warming,gasses released during the use of gasoline causes global warming
4265,"as earth processes change, the amount of material that makes up rocks will stay the same",earth is made of rock,"as the earth processes change , the total amount of material on earth will stay the same"
673,a forest contains a large amount of trees,a tree contains wood,a forest contains a large amount of wood
4571,rolling on a surface is a kind of moving on a surface,the rubber ball is rolling across a surface,the rubber ball is moving on a surface
4639,an example of camouflage is an arctic hare having the same color as its environment,an arctic hare and an arctic environment both become white in the winter,an example of camouflage is an arctic hare and an arctic environment having the same color in the winter
855,the mantle of the earth is mainly made of silicate,the crust of the earth is made of basalt or granite,the mantle of the earth is mainly made of silicate and the crust of the earth is made of basalt or ganite
2059,red blood cells contain hemoglobin,red blood cells are a kind of blood cell,red blood cells are a kind of blood cell that contain hemoglobin
3278,a freezer is used for cooling things,water is put in the freezer,the water will be cooled in the freezer
878,early photosynthetic life is a kind of photosynthetic life,early photosynthetic life existed a long time ago,early photosynthetic life is a kind of photosynthetic life that existed a long time ago
1022,a property is a kind of information,temperature is a property of weather,temperature is a kindof information about weather
866,the subduction of an oceanic plate may cause magma to surface from underneath,magma cools down when it comes to the surface from underneath,the subduction of an oceanic plate will cause magma to surface and cool down
4795,plants are a source of oxygen through photosynthesis,plants are a kind of producer,producers are a source of oxygen
5012,neutrons are a part of the nucleus,the nucleus is the core / center of an atom,neutrons are part of the nucleus in an atom
1167,light is a kind of wave,frequency is a property of a wave / a particle of light / an event,frequency is a property of the light wave and a particle of light
4576,non-contact forces can affect objects that are not touching,magnetism can affect objects that are not touching / without contact,magnetism is a kind of non-contact force
755,humans discard waste in a landfill,landfills have a negative impact on the environment,humans discarding waste in a landfill has a negative impact on the environment
2687,energy is a kind of resource,if a resource is transferred to something through something else then that something gets that resource from that something else,if energy is transferred to something through something else then that something gets that energy from that something else
4394,cutting down a forest causes the number of trees to decrease in that forest,decreasing trees decreases tree roots,cutting a forest causes the number of tree roots to decrease in that forest
3132,electrons are part of an atom that is negatively-charged,electrons are involved in chemical reactions,negatively charged particles are involved in chemical reactions
1101,if an object is not moving it does not have any motion to counter,friction acts to counter the motion of two objects when their surfaces are touching,friction acts to counter the motion of only moving objects when the surfaces of two objects are touching
4135,a glass thermometer is made of alcohol liquid in a tube,"as the liquid in a tube expands , the height of the liquid in that tube will increase","if the alcohol liquid in the tube expands, then the height of the alcohol liquid will increase"
176,gravity causes orbits,planets in the solar system orbit the sun,gravity causes the planets in the solar system to orbit the sun
4476,"if the air pressure surrounding a weather balloon decreases, the weather balloon will expand","as altitude increases , air pressure will decrease",the weather balloon expands because the air pressure decreases at higher altitude
4724,the liver is a part of the digestive system,the digestive system is a part of an animal,the liver is a part of an animal's digestive systemm
2609,decomposition is when a decomposer breaks down dead organisms,a decomposer is a kind of living thing,a decomposer is a kind of living thing that breaks down dead organisms
